id,nome,siglaPartido,siglaUF,idLegislatura
178884,Hildo Rocha,MDB,MA,57
98615,Ismael,PL,SC,57
220527,Jack Rocha,PT,ES,57
220677,Keniston Braga,MDB,PA,57
74156,Leonardo Monteiro,PT,MG,57
220658,Luiz Gastão,PSD,CE,57
204455,Luiz Lima,NOVO,RJ,57
154178,Milton Vieira,REPUBLICANOS,SP,57
128760,Paulo Marinho Jr,PL,MA,57
204406,Pedro Westphalen,PP,RS,57
220643,Sônia Guajajara,PSOL,SP,57
204534,Tabata Amaral,PSB,SP,57
220536,Zé Haroldo Cathedral,UNIÃO,RR,57
204528,Adriana Ventura,NOVO,SP,57
121948,Adriano do Baldy,PP,GO,57
220542,Alexandre Guimarães,MDB,TO,57
220707,Amanda Gentil,PP,MA,57
204423,André Ferreira,PL,PE,57
220676,Andreia Siqueira,PSB,PA,57
160665,Augusto Coutinho,REPUBLICANOS,PE,57
109429,Benes Leocádio,UNIÃO,RN,57
220683,Beto Richa,PSDB,PR,57
205476,Charles Fernandes,PSD,BA,57
204462,Chris Tonietto,PL,RJ,57
220629,Dandara,PT,MG,57
220571,Daniel Agrobom,PL,GO,57
62881,Danilo Forte,PP,CE,57
204407,Fernanda Melchionna,PSOL,RS,57
204411,Filipe Barros,PL,PR,57
220566,Lêda Borges,REPUBLICANOS,GO,57
220572,Marussa Boldrin,REPUBLICANOS,GO,57
178843,Marx Beltrão,PP,AL,57
220585,Mersinho Lucena,PSD,PB,57
74574,Paulo Magalhães,PSD,BA,57
74161,Reginaldo Lopes,PT,MG,57
141533,Rodrigo Rollemberg,PSB,DF,57
220695,Rogéria Santos,REPUBLICANOS,BA,57
73604,Rui Falcão,PT,SP,57
204416,Sanderson,PL,RS,57
220621,Sargento Gonçalves,PL,RN,57
204425,Silvio Costa Filho,REPUBLICANOS,PE,57
92776,Stefano Aguiar,PSD,MG,57
143084,Tiago Dimas,PODE,TO,57
91228,Waldemar Oliveira,AVANTE,PE,57
