id_deputado,nome_deputado,partido,uf,total_sessoes,presencas_reais,score_engajamento
204368,Fabio Schiochet,UNIÃO,SC,3,0,0
160541,Arthur Lira,PP,AL,3,0,0
178987,Orlando Silva,PCdoB,SP,3,0,0
74398,Maria do Rosário,PT,RS,3,0,0
74317,Júlio Cesar,PSD,PI,3,0,0
141458,João Carlos Bacelar,PL,BA,3,0,0
220574,Cabo Gilberto Silva,PL,PB,3,0,0
220702,Geraldo Mendes,UNIÃO,PR,3,0,0
178829,Capitão Augusto,PL,SP,3,0,0
74376,Vander Loubet,PT,MS,3,0,0
141456,Jilmar Tatto,PT,SP,3,0,0
204436,Isnaldo Bulhões Jr.,MDB,AL,3,0,0
220622,Nely Aquino,PODE,MG,3,0,0
160512,Aureo Ribeiro,SOLIDARIEDADE,RJ,3,0,0
220642,Delegado Bruno Lima,PODE,SP,3,0,0
178964,Heitor Schuch,PSD,RS,3,0,0
206018,Célia Xakriabá,PSOL,MG,3,0,0
220690,Capitão Alden,PL,BA,3,0,0
220594,Coronel Assis,PL,MT,3,0,0
141555,Vinicius Carvalho,PL,SP,3,0,0
73692,Osmar Terra,PL,RS,3,0,0
109429,Benes Leocádio,UNIÃO,RN,3,0,0
160674,Hugo Motta,REPUBLICANOS,PB,3,0,0
160758,Domingos Sávio,PL,MG,3,0,0
62881,Danilo Forte,PP,CE,3,0,0
178972,Alex Manente,CIDADANIA,SP,3,0,0
204518,Dr. Frederico,PRD,MG,3,0,0
204441,Otoni de Paula,PSD,RJ,3,0,0
178887,Rubens Pereira Júnior,PT,MA,3,0,0
166402,Magda Mofatto,PL,GO,3,0,0
178876,Célio Silveira,MDB,GO,3,0,0
220620,Rosângela Reis,PL,MG,3,0,0
204460,Carlos Jordy,PL,RJ,3,0,0
204395,Pedro Lupion,REPUBLICANOS,PR,3,0,0
220688,Dr. Francisco,PT,PI,3,0,0
220582,Daniel Barbosa,PP,AL,3,0,0
220555,Daiana Santos,PCdoB,RS,3,0,0
92776,Stefano Aguiar,PSD,MG,3,0,0
205476,Charles Fernandes,PSD,BA,3,0,0
209787,Nikolas Ferreira,PL,MG,3,0,0
73486,Pompeo de Mattos,PDT,RS,3,0,0
220654,Delegado Paulo Bilynskyj,PL,SP,3,0,0
178993,Carlos Henrique Gaguim,UNIÃO,TO,3,0,0
204472,José Medeiros,PL,MT,3,0,0
220715,Amom Mandel,REPUBLICANOS,AM,3,0,0
220603,Dani Cunha,PL,RJ,3,0,0
220644,Rosangela Moro,PL,SP,3,0,0
204526,Luiz Philippe de Orleans e Bragança,PL,SP,3,0,0
220607,Max Lemos,PDT,RJ,3,0,0
204387,Sargento Fahur,PL,PR,3,0,0
220625,Delegada Ione,AVANTE,MG,3,0,0
220610,Dr. Fernando Máximo,PL,RO,3,0,0
171786,Miguel Ângelo,PT,MG,3,0,0
141408,Cleber Verde,MDB,MA,3,0,0
220697,Jadyel Alencar,REPUBLICANOS,PI,3,0,0
220657,André Fernandes,PL,CE,3,0,0
123086,Átila Lira,PP,PI,3,0,0
220703,Neto Carletto,AVANTE,BA,3,0,0
123756,Antônia Lúcia,MDB,AC,3,0,0
