apelido,codTipoOrgao,id,nome,nomePublicacao,nomeResumido,sigla,tipoOrgao,uri
MPV78,9,5607,Autoriza o Poder Executivo a doar à República do Paraguai vacinas e equipamentos indispensáveis ao combate à febre aftosa.,MPV78,null,MPV07802,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5607
MPV78,9,5934,Autoriza o Poder Executivo a doar à República do Paraguai vacinas e equipamentos indispensáveis ao combate à febre aftosa.,MPV78,null,MPV07802,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5934
MPV79,9,5935,"Dispõe sobre o direito ao ressarcimento dos custos de formação de atleta não profissional e a exploração comercial da imagem do atleta profissional, impõe vedações ao exercício de cargo ou função executiva em entidade de administração de desporto profissional, fixa normas de segurança nos estádios, adapta o tratamento diferenciado do desporto profissional à Lei nº 10.406, de 10 de janeiro de 2002 - Código Civil, estabelece diretrizes para o cumprimento da obrigação constante do art. 46-A da Lei nº 9.615, de 24 de março de 1998, altera o art. 8º da Lei nº 10.359, de 27 de dezembro de 2001, e dá outras providências.",MPV79,null,MPV07902,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5935
MPV80,9,5936,"Altera o art. 5º da Lei nº 8.427, de 27 de maio de 1992, que dispõe sobre a concessão de subvenção econômica na operação de crédito rural.",MPV80,null,MPV08002,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5936
MPV81,9,5937,"Abre crédito extraordinário, em favor de encargos financeiros da União e Refinanciamento da Dívida Mobiliária Federal, no valor global de R$17.084.740.385,00, para os fins que especifica.",MPV81,null,MPV08102,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5937
MPV82,9,5938,"Dispõe sobre a transferência da União para os Estados e o Distrito Federal de parte da malha rodoviária sob jurisdição federal, nos casos que especifica, e dá outras providências.",MPV82,null,MPV08202,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5938
MPV83,9,5939,Dispõe sobre a concessão da aposentadoria especial ao cooperado de cooperativa de trabalho ou de produção e dá outras providências.,MPV83,null,MPV08302,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5939
MPV84,9,5940,"Abre crédito extraordinário em favor do Ministério da Integração Nacional, no valor de R$10.000.000,00, para os fins que especifica.",MPV84,null,MPV08402,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5940
MPV85,9,5941,"Abre crédito extraordinário, em favor do Ministério da Integração Nacional, no valor de R$45.000.000,00, para os fins que especifica.",MPV85,null,MPV08502,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5941
MPV86,9,5942,"Altera dispositivos da Lei nº 8.745, de 9 de dezembro de 1993, e da Lei nº 10.470, de 25 de junho de 2002, cria cargos efetivos, cargos comissionados e gratificações no âmbito da Administração Pública Federal, e dá outras providências.",MPV86,null,MPV08602,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5942
MPV87,9,5943,"Abre crédito extraordinário no valor de R$780.039.000,00, em favor do Ministério dos Transportes, para os fins que especifica.",MPV87,null,MPV08702,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5943
MPV88,9,5944,"Abre crédito extraordinário ao Orçamento de Investimento para 2002, em favor de diversas empresas do Grupo PETROBRÁS, no valor total de R$2.259.122.810,00, e reduz o Orçamento de Investimento das mesmas empresas no valor global de R$1.536.449,550,00, para os fins que especifica.",MPV88,null,MPV08802,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5944
