aprovacao,data,dataHoraRegistro,descricao,id,proposicaoObjeto,siglaOrgao,uri,uriEvento,uriOrgao,uriProposicaoObjeto
1,2026-04-16,2026-04-16T10:34:30,Aprovado o Requerimento.,2517813-2,REQ 9/2025 CEXMABRU,CEXMABRU,https://dadosabertos.camara.leg.br/api/v2/votacoes/2517813-2,https://dadosabertos.camara.leg.br/api/v2/eventos/81593,https://dadosabertos.camara.leg.br/api/v2/orgaos/539407,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2517813
1,2026-04-16,2026-04-16T10:34:19,Aprovado o Requerimento.,2489197-2,REQ 8/2025 CEXMABRU,CEXMABRU,https://dadosabertos.camara.leg.br/api/v2/votacoes/2489197-2,https://dadosabertos.camara.leg.br/api/v2/eventos/81593,https://dadosabertos.camara.leg.br/api/v2/orgaos/539407,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2489197
1,2026-04-16,2026-04-16T10:33:35,Aprovado o Requerimento.,2489196-2,REQ 7/2025 CEXMABRU,CEXMABRU,https://dadosabertos.camara.leg.br/api/v2/votacoes/2489196-2,https://dadosabertos.camara.leg.br/api/v2/eventos/81593,https://dadosabertos.camara.leg.br/api/v2/orgaos/539407,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2489196
1,2026-04-16,2026-04-16T10:33:21,Aprovado o Requerimento.,2485127-2,REQ 6/2025 CEXMABRU,CEXMABRU,https://dadosabertos.camara.leg.br/api/v2/votacoes/2485127-2,https://dadosabertos.camara.leg.br/api/v2/eventos/81593,https://dadosabertos.camara.leg.br/api/v2/orgaos/539407,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2485127
1,2026-04-16,2026-04-16T10:33:09,Aprovado o Requerimento.,2458903-2,REQ 12/2024 CEXMABRU,CEXMABRU,https://dadosabertos.camara.leg.br/api/v2/votacoes/2458903-2,https://dadosabertos.camara.leg.br/api/v2/eventos/81593,https://dadosabertos.camara.leg.br/api/v2/orgaos/539407,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2458903
1,2026-04-15,2026-04-15T21:51:26,"Aprovada a Redação Final, assinada pela relatora, Dep. Laura Carneiro (PSD/RJ).",2608575-66,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2608575-66,https://dadosabertos.camara.leg.br/api/v2/eventos/81658,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
1,2026-04-15,2026-04-15T21:50:20,"Aprovado o Projeto de Lei Complementar nº 55, de 2026. Sim: 342; Não: 39; Total: 381.",2608575-64,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2608575-64,https://dadosabertos.camara.leg.br/api/v2/eventos/81658,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
1,2026-04-15,2026-04-15T21:33:43,"Aprovada a Redação Final assinada pelo relator, Dep. Luiz Carlos Busato (União - RS).",2495726-51,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2495726-51,https://dadosabertos.camara.leg.br/api/v2/eventos/81658,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
1,2026-04-15,2026-04-15T21:33:10,Aprovada a Emenda nº 1 da Comissão de Constituição e Justiça e de Cidadania.,2495726-49,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2495726-49,https://dadosabertos.camara.leg.br/api/v2/eventos/81658,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
1,2026-04-15,2026-04-15T21:32:41,"Aprovado o Projeto de Lei nº 2.083, de 2022.",2495726-47,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2495726-47,https://dadosabertos.camara.leg.br/api/v2/eventos/81658,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
1,2026-04-15,2026-04-15T21:27:02,"Aprovada a Redação Final, assinada pelo relator, Dep. Márcio Marinho (REPUBLIC/BA).",2334815-83,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2334815-83,https://dadosabertos.camara.leg.br/api/v2/eventos/81658,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
0,2026-04-15,2026-04-15T21:26:45,Rejeitada a Emenda de Plenário.,2334815-81,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2334815-81,https://dadosabertos.camara.leg.br/api/v2/eventos/81658,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
