nome_deputado,uf,categoria,valor_gasto,z_score
Sargento Portugal,RJ,COMBUSTÍVEIS E LUBRIFICANTES.,218.71,0.4845
Pedro Paulo,RJ,PASSAGEM AÉREA - SIGEPA,1860.13,0.4829
Dagoberto Nogueira,MS,COMBUSTÍVEIS E LUBRIFICANTES.,2006.11,0.4779
Damião Feliciano,PB,PASSAGEM AÉREA - SIGEPA,1494.41,0.4714
Dagoberto Nogueira,MS,PASSAGEM AÉREA - SIGEPA,1360.43,0.4609
Welter,PR,COMBUSTÍVEIS E LUBRIFICANTES.,260.06,0.4574
Bohn Gass,RS,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,5940,0.4396
Sargento Portugal,RJ,COMBUSTÍVEIS E LUBRIFICANTES.,215.32,0.4008
Filipe Martins,TO,COMBUSTÍVEIS E LUBRIFICANTES.,324.33,0.3983
Pedro Paulo,RJ,PASSAGEM AÉREA - SIGEPA,1726.69,0.3932
Damião Feliciano,PB,PASSAGEM AÉREA - SIGEPA,1416.72,0.3908
Filipe Martins,TO,PASSAGEM AÉREA - SIGEPA,2000.5,0.3716
Filipe Martins,TO,COMBUSTÍVEIS E LUBRIFICANTES.,320.38,0.3648
Filipe Martins,TO,COMBUSTÍVEIS E LUBRIFICANTES.,320.03,0.3618
Fausto Pinato,SP,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",2265.51,0.3585
Filipe Martins,TO,PASSAGEM AÉREA - SIGEPA,1961.04,0.3571
Bohn Gass,RS,COMBUSTÍVEIS E LUBRIFICANTES.,300.05,0.352
Bohn Gass,RS,COMBUSTÍVEIS E LUBRIFICANTES.,299.86,0.3462
Welter,PR,COMBUSTÍVEIS E LUBRIFICANTES.,250.15,0.3431
Welter,PR,COMBUSTÍVEIS E LUBRIFICANTES.,250.02,0.3416
Welter,PR,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",290,0.3391
Fausto Pinato,SP,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,3600,0.3378
Fausto Pinato,SP,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,3600,0.3378
Filipe Martins,TO,COMBUSTÍVEIS E LUBRIFICANTES.,316.4,0.3309
Sargento Portugal,RJ,COMBUSTÍVEIS E LUBRIFICANTES.,211.87,0.3156
Fausto Pinato,SP,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,10000,0.3101
Gilberto Nascimento,SP,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,10000,0.3101
Fausto Pinato,SP,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,10000,0.3101
Gilberto Nascimento,SP,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,10000,0.3101
Fausto Pinato,SP,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,10000,0.3101
Gilberto Nascimento,SP,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,10000,0.3101
Gilberto Nascimento,SP,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,10000,0.3101
Fausto Pinato,SP,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,10000,0.3101
Filipe Martins,TO,COMBUSTÍVEIS E LUBRIFICANTES.,312.75,0.2999
Bohn Gass,RS,COMBUSTÍVEIS E LUBRIFICANTES.,298.33,0.2993
Gilberto Nascimento,SP,TELEFONIA,381.41,0.2785
Filipe Martins,TO,COMBUSTÍVEIS E LUBRIFICANTES.,310,0.2766
Bohn Gass,RS,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",30.68,0.2705
Marangoni,SP,PASSAGEM AÉREA - SIGEPA,1061.61,0.2565
Bohn Gass,RS,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",30.45,0.255
Gilberto Nascimento,SP,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,6500,0.2509
Gilberto Nascimento,SP,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,6500,0.2509
Gilberto Nascimento,SP,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,6500,0.2509
